,tw_vad_comp_r,tw_vader_neg75_r,tw_vader_pos_r,tw_vader_neg_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
2,190.0,72.5,90.0,93.0,682.5,44.0,749.5
6,339.0,265.5,334.0,163.0,111.0,262.0,274.0
7,162.0,327.5,243.0,329.0,79.5,510.5,133.5
8,337.0,378.0,388.0,340.0,444.0,396.5,418.0
12,124.0,397.5,181.0,383.0,55.0,752.5,7.0
18,273.0,303.0,246.0,255.0,384.5,541.5,274.0
20,257.0,72.5,219.0,198.0,212.5,621.5,149.5
22,308.5,198.5,414.5,317.5,652.0,396.5,574.5
23,71.0,296.0,41.0,344.0,384.5,771.0,16.5
24,423.0,72.5,440.0,143.0,288.0,694.0,133.5
28,75.5,438.0,100.5,357.5,682.5,262.0,659.5
29,39.0,332.5,87.0,403.0,709.5,262.0,678.5
30,216.0,72.5,285.0,208.0,490.0,306.0,509.0
38,184.0,430.0,324.0,420.0,771.0,44.0,770.0
40,474.0,72.5,428.0,12.0,444.0,694.0,186.0
41,332.0,184.5,321.0,187.0,532.5,475.5,418.0
45,381.0,149.0,224.0,55.0,384.5,677.0,186.0
50,274.0,250.0,158.0,209.0,14.5,90.0,186.0
55,244.0,72.5,272.0,203.0,618.5,437.0,509.0
62,151.5,206.0,26.5,121.5,490.0,187.0,600.0
64,89.0,291.0,76.0,262.0,771.0,13.0,771.0
69,417.0,72.5,89.0,9.0,709.5,223.5,698.0
72,219.0,424.0,450.0,466.0,288.0,187.0,476.0
75,194.0,253.0,199.0,287.0,212.5,763.0,21.5
78,182.0,230.0,148.0,230.0,490.0,26.0,714.5
80,252.0,362.5,295.0,365.0,288.0,351.5,357.5
83,72.0,157.0,69.0,207.0,444.0,510.5,331.0
89,325.0,232.0,292.0,159.0,444.0,26.0,698.0
93,310.0,219.5,238.0,168.0,173.0,223.5,357.5
103,163.0,262.5,118.0,241.0,384.5,718.5,133.5
106,275.0,158.0,320.0,229.0,577.5,351.5,542.5
107,136.0,372.5,175.0,405.0,288.0,437.0,301.0
109,239.0,167.0,62.0,111.0,652.0,147.5,698.0
111,272.0,72.5,156.0,82.0,14.5,737.5,4.0
112,359.0,321.5,368.0,272.0,384.5,569.5,251.0
114,351.0,252.0,305.0,158.0,212.5,763.0,21.5
118,172.0,327.5,254.0,371.0,248.5,621.5,168.0
119,32.0,415.0,134.0,461.0,248.5,147.5,476.0
128,83.0,402.0,94.0,370.0,532.5,306.0,542.5
132,102.5,438.0,187.5,431.5,444.0,147.5,600.0
133,21.0,462.0,83.0,467.0,288.0,694.0,133.5
139,240.0,332.5,278.0,352.0,384.5,306.0,447.0
140,206.0,400.0,279.0,398.0,111.0,475.5,186.0
